"","ENSEMBL","SYMBOL"
"1","ENSG00000223972","DDX11L1"
"6","ENSG00000186092","OR4F5"
"7","ENSG00000238009","LOC100996442"
"18","ENSG00000230021","LOC101928626"
"19","ENSG00000228794","LINC01128"
"20","ENSG00000228794","LOC107984850"
"21","ENSG00000230368","FAM41C"
"23","ENSG00000223764","LINC02593"
"24","ENSG00000187634","SAMD11"
"25","ENSG00000188976","NOC2L"
"26","ENSG00000187961","KLHL17"
"27","ENSG00000187583","PLEKHN1"
"28","ENSG00000187642","PERM1"
"30","ENSG00000188290","HES4"
"31","ENSG00000187608","ISG15"
"32","ENSG00000188157","AGRN"
"33","ENSG00000217801","LOC100288175"
"34","ENSG00000237330","RNF223"
"35","ENSG00000131591","C1orf159"
"36","ENSG00000223823","LINC01342"
"37","ENSG00000198976","MIR429"
"39","ENSG00000205231","TTLL10-AS1"
"40","ENSG00000162571","TTLL10"
"41","ENSG00000186891","TNFRSF18"
"42","ENSG00000186827","TNFRSF4"
"43","ENSG00000078808","SDF4"
"44","ENSG00000176022","B3GALT6"
"45","ENSG00000184163","C1QTNF12"
"47","ENSG00000160087","UBE2J2"
"49","ENSG00000162572","SCNN1D"
"50","ENSG00000131584","ACAP3"
"51","ENSG00000169972","PUSL1"
"52","ENSG00000127054","INTS11"
"53","ENSG00000224051","CPTP"
"54","ENSG00000169962","TAS1R3"
"55","ENSG00000107404","DVL1"
"56","ENSG00000162576","MXRA8"
"57","ENSG00000175756","AURKAIP1"
"59","ENSG00000221978","CCNL2"
"60","ENSG00000224870","MRPL20-AS1"
"61","ENSG00000242485","MRPL20"
"63","ENSG00000235098","ANKRD65"
"65","ENSG00000205116","TMEM88B"
"67","ENSG00000179403","VWA1"
"68","ENSG00000215915","ATAD3C"
"69","ENSG00000160072","ATAD3B"
"71","ENSG00000197785","ATAD3A"
"72","ENSG00000205090","TMEM240"
"73","ENSG00000160075","SSU72"
"76","ENSG00000228594","FNDC10"
"79","ENSG00000197530","MIB2"
"80","ENSG00000189409","MMP23B"
"81","ENSG00000248333","CDK11B"
"83","ENSG00000189339","SLC35E2B"
"84","ENSG00000008128","CDK11A"
"86","ENSG00000215790","SLC35E2A"
"87","ENSG00000008130","NADK"
"88","ENSG00000078369","GNB1"
"90","ENSG00000169885","CALML6"
"91","ENSG00000178821","TMEM52"
"92","ENSG00000142609","CFAP74"
"94","ENSG00000187730","GABRD"
"95","ENSG00000226969","LOC105378591"
"96","ENSG00000067606","PRKCZ"
"97","ENSG00000162585","FAAP20"
"99","ENSG00000157933","SKI"
"101","ENSG00000116151","MORN1"
"102","ENSG00000157916","RER1"
"103","ENSG00000157911","PEX10"
"104","ENSG00000149527","PLCH2"
"105","ENSG00000157881","PANK4"
"106","ENSG00000197921","HES5"
"109","ENSG00000157873","TNFRSF14"
"111","ENSG00000228037","LOC100996583"
"112","ENSG00000157870","PRXL2B"
"113","ENSG00000142606","MMEL1"
"115","ENSG00000215912","TTC34"
"118","ENSG00000169717","ACTRT2"
"119","ENSG00000177133","PRDM16-DT"
"120","ENSG00000142611","PRDM16"
"121","ENSG00000130762","ARHGEF16"
"123","ENSG00000162591","MEGF6"
"125","ENSG00000158109","TPRG1L"
"126","ENSG00000116213","WRAP73"
"127","ENSG00000078900","TP73"
"128","ENSG00000227372","TP73-AS1"
"129","ENSG00000162592","CCDC27"
"130","ENSG00000235169","SMIM1"
"131","ENSG00000130764","LRRC47"
"132","ENSG00000116198","CEP104"
"133","ENSG00000169598","DFFB"
"134","ENSG00000198912","C1orf174"
"135","ENSG00000236423","LINC01134"
"137","ENSG00000284668","LINC02780"
"140","ENSG00000235054","LINC01777"
"142","ENSG00000232596","LINC01646"
"143","ENSG00000196581","AJAP1"
"145","ENSG00000284674","LINC02781"
"148","ENSG00000284692","LOC105376686"
"152","ENSG00000264101","MIR4689"
"153","ENSG00000131697","NPHP4"
"154","ENSG00000069424","KCNAB2"
"155","ENSG00000116254","CHD5"
"157","ENSG00000116251","RPL22"
"158","ENSG00000158286","RNF207"
"159","ENSG00000116237","ICMT"
"161","ENSG00000173673","HES3"
"162","ENSG00000158292","GPR153"
"163","ENSG00000097021","ACOT7"
"164","ENSG00000069812","HES2"
"165","ENSG00000187017","ESPN"
"166","ENSG00000215788","TNFRSF25"
"167","ENSG00000171680","PLEKHG5"
"168","ENSG00000162408","NOL9"
"169","ENSG00000173662","TAS1R1"
"170","ENSG00000204859","ZBTB48"
"171","ENSG00000162413","KLHL21"
"172","ENSG00000116273","PHF13"
"173","ENSG00000041988","THAP3"
"174","ENSG00000007923","DNAJC11"
"178","ENSG00000171735","CAMTA1"
"179","ENSG00000049245","VAMP3"
"180","ENSG00000049246","PER3"
"181","ENSG00000049247","UTS2"
"182","ENSG00000049249","TNFRSF9"
"183","ENSG00000116288","PARK7"
"185","ENSG00000116285","ERRFI1"
"188","ENSG00000227634","LINC01714"
"190","ENSG00000162426","SLC45A1"
"191","ENSG00000142599","RERE"
"192","ENSG00000074800","ENO1"
"193","ENSG00000230679","ENO1-AS1"
"198","ENSG00000131686","CA6"
"200","ENSG00000197241","SLC2A7"
"201","ENSG00000142583","SLC2A5"
"202","ENSG00000180758","GPR157"
"203","ENSG00000228526","MIR34AHG"
"204","ENSG00000049239","H6PD"
"205","ENSG00000171621","SPSB1"
"207","ENSG00000284693","LINC02606"
"209","ENSG00000171612","SLC25A33"
"210","ENSG00000188807","TMEM201"
"211","ENSG00000171608","PIK3CD"
"212","ENSG00000171603","CLSTN1"
"214","ENSG00000178585","CTNNBIP1"
"215","ENSG00000162441","LZIC"
"216","ENSG00000173614","NMNAT1"
"217","ENSG00000162444","RBP7"
"218","ENSG00000130939","UBE4B"
"219","ENSG00000054523","KIF1B"
"222","ENSG00000142657","PGD"
"224","ENSG00000251503","CENPS-CORT"
"225","ENSG00000160049","DFFA"
"226","ENSG00000142655","PEX14"
"227","ENSG00000130940","CASZ1"
"229","ENSG00000175262","C1orf127"
"231","ENSG00000120948","TARDBP"
"233","ENSG00000009724","MASP2"
"234","ENSG00000116649","SRM"
"235","ENSG00000171824","EXOSC10"
"236","ENSG00000230337","EXOSC10-AS1"
"237","ENSG00000198793","MTOR"
"238","ENSG00000120942","UBIAD1"
"241","ENSG00000204624","DISP3"
"242","ENSG00000235643","LINC01647"
"244","ENSG00000116661","FBXO2"
"245","ENSG00000132879","FBXO44"
"246","ENSG00000116663","FBXO6"
"247","ENSG00000116670","MAD2L2"
"248","ENSG00000162490","DRAXIN"
"249","ENSG00000177674","AGTRAP"
"250","ENSG00000215910","C1orf167"
"251","ENSG00000177000","MTHFR"
"252","ENSG00000011021","CLCN6"
"253","ENSG00000175206","NPPA"
"254","ENSG00000120937","NPPB"
"257","ENSG00000116685","KIAA2013"
"258","ENSG00000083444","PLOD1"
